country,gdp_per_capita,life_satisfaction
Brazil,8669.998,6.4
Mexico,9009.28,6.5
Russia,9054.914,5.8
Turkey,9437.372,5.5
Poland,12495.334,6.1
Latvia,13618.569,5.9
Lithuania,14210.28,5.9
Slovak Republic,15991.736,6.2
Czech Republic,17256.918,6.7
Estonia,17288.083,5.7
Greece,18064.288,5.4
Portugal,19121.592,5.4
Slovenia,20732.482,5.9
Spain,25864.721,6.3
Korea,27195.197,5.9
Italy,29866.581,6.0
Japan,32485.545,5.9
Israel,35343.336,7.2
New Zealand,37044.891,7.3
France,37675.006,6.5
Belgium,40106.632,6.9
Germany,40996.511,7.0
Finland,41973.988,7.6
Canada,43331.961,7.4
Netherlands,43603.115,7.4
Austria,43724.031,7.1
United Kingdom,43770.688,6.8
Sweden,49866.266,7.3
Iceland,50854.583,7.5
